型号,H,B,t1,t2,r,截面面积_cm2,理论重量_kg/m,外表面积_m2/m,Ix_cm4,Iy_cm4,ix_cm,iy_cm,Wx_cm3,Wy_cm3,基准规格△
H100×50,95,48,3.2,4.5,8,7.620,5.98,0.362,115,8.39,3.88,1.04,24.2,3.49,
H100×50,97,49,4,5.5,8,9.370,7.36,0.368,143,10.9,3.91,1.07,29.6,4.45,
H100×50,100,50,5,7,8,11.84,9.30,0.376,187,14.8,3.97,1.11,37.5,5.91,是
H100×100,96,99,4.5,6,8,16.20,12.7,0.565,272,97.2,4.09,2.44,56.7,19.6,
H100×100,100,100,6,8,8,21.58,16.9,0.574,378,134,4.18,2.48,75.6,26.7,是
H125×60,118,58,3.2,4.5,8,9.250,7.26,0.448,218,14.7,4.85,1.26,37.0,5.08,
H125×60,120,59,4,5.5,8,11.39,8.94,0.454,271,19.0,4.87,1.29,45.2,6.43,
H125×60,125,60,6,8,8,16.68,13.1,0.464,409,29.1,4.95,1.32,65.4,9.71,是
H125×125,119,123,4.5,6,8,20.12,15.8,0.707,532,186,5.14,3.04,89.5,30.3,
H125×125,125,125,6.5,9,8,30.00,23.6,0.723,839,293,5.28,3.12,134,46.9,是
H150×75,145,73,3.2,4.5,8,11.47,9.00,0.562,416,29.3,6.01,1.59,57.3,8.02,
H150×75,147,74,4,5.5,8,14.12,11.1,0.568,516,37.3,6.04,1.62,70.2,10.1,
H150×75,148,74.5,4.5,6,8,15.61,12.3,0.571,569,41.6,6.04,1.63,76.9,11.2,
H150×75,150,75,5,7,8,17.84,14.0,0.576,666,49.5,6.10,1.66,88.8,13.2,是
H150×100,139,97,3.2,4.5,8,13.43,10.6,0.646,476,68.6,5.94,2.25,68.4,14.1,
H150×100,142,99,4.5,6,8,18.27,14.3,0.657,654,97.2,5.98,2.30,92.1,19.6,
H150×100,148,100,6,9,8,26.34,20.7,0.670,1000,150,6.16,2.38,135,30.1,
H150×100,150,100,6,10,8,28.35,22.3,0.674,1110,167,6.27,2.43,148,33.4,是
H150×150,144,148,5,7,8,27.76,21.8,0.856,1090,378,6.25,3.69,151,51.1,
H150×150,147,149,6,8.5,8,33.67,26.4,0.864,1350,469,6.32,3.73,183,63.0,
H150×150,150,150,7,10,8,39.64,31.1,0.872,1620,563,6.39,3.76,216,75.1,是
H175×90,168,88,3.2,4.5,8,13.55,10.6,0.668,670,51.2,7.02,1.94,79.7,11.6,
H175×90,171,89,4,6,8,17.58,13.8,0.676,894,70.7,7.13,2.00,105,15.9,
H175×90,175,90,5,8,8,22.89,18.0,0.686,1210,97.5,7.25,2.06,138,21.7,是
H175×175,167,173,5,7,13,33.32,26.2,0.994,1780,605,7.30,4.26,213,69.9,
H175×175,172,175,6.5,9.5,13,44.64,35.0,1.01,2470,850,7.43,4.36,287,97.1,
H175×175,175,175,7.5,11,13,51.42,40.4,1.01,2900,984,7.50,4.37,331,112,是
H200×100,193,98,3.2,4.5,8,15.25,12.0,0.758,994,70.7,8.07,2.15,103,14.4,
H200×100,196,99,4,6,8,19.78,15.5,0.766,1320,97.2,8.18,2.21,135,19.6,
H200×100,198,99,4.5,7,8,22.68,17.8,0.769,1540,113,8.24,2.23,156,22.9,
H200×100,200,100,5.5,8,8,26.66,20.9,0.775,1810,134,8.22,2.23,181,26.7,是
H200×150,188,149,4.5,6,8,26.34,20.7,0.949,1730,331,8.09,3.54,184,44.4,
H200×150,194,150,6,9,8,38.10,29.9,0.962,2630,507,8.30,3.64,271,67.5,
H200×150,200,152,8,12,8,51.11,40.1,0.978,3630,703,8.43,3.71,363,92.5,是
H200×200,192,198,6,8,13,43.69,34.3,1.14,3060,1040,8.37,4.86,319,105,
H200×200,200,200,8,12,13,63.53,49.9,1.16,4720,1600,8.61,5.02,472,160,是
H200×200,200,204,12,12,13,71.53,56.2,1.17,4980,1700,8.34,4.87,498,167,
H200×200,208,201,9,16,13,81.61,64.1,1.18,6460,2170,8.89,5.15,621,216,
H250×125,244,124,4.5,6,8,25.86,20.3,0.961,2650,191,10.1,2.71,217,30.8,
H250×125,248,124,5,8,8,31.98,25.1,0.968,3450,255,10.4,2.82,278,41.1,
H250×125,250,125,6,9,8,36.96,29.0,0.974,3960,294,10.4,2.81,317,47.0,是
H250×150,250,150,4.5,6,13,30.16,23.7,1.07,3380,338,10.6,3.35,270,45.1,是
H250×150,254,152.5,7,8,13,42.51,33.4,1.08,4670,474,10.5,3.34,368,62.2,
H250×150,260,153.5,8,11,13,54.26,42.6,1.10,6330,665,10.8,3.50,487,86.6,
H250×175,238,173,4.5,8,13,39.12,30.7,1.14,4240,691,10.4,4.20,356,79.9,
H250×175,244,175,7,11,13,55.49,43.6,1.15,6040,984,10.4,4.21,495,112,是
H250×175,248,176,8,13,13,64.97,51.0,1.16,7220,1180,10.5,4.27,583,134,
H250×250,244,252,11,11,13,81.31,63.8,1.45,8700,2940,10.3,6.01,713,233,
H250×250,250,250,9,14,13,91.43,71.8,1.46,10700,3650,10.8,6.31,860,292,是
H250×250,250,255,14,14,13,103.9,81.6,1.47,11400,3880,10.5,6.10,912,304,
H250×250,262,252,11,20,13,126.7,99.5,1.49,16000,5340,11.2,6.49,1220,424,
H300×125,299,123,6,8,13,38.11,29.9,1.06,5580,249,12.1,2.56,373,40.5,
H300×125,303,124,7,10,13,46.06,36.2,1.07,6930,319,12.3,2.63,457,51.5,是
H300×150,294,148,4.5,6,13,31.90,25.0,1.15,4800,325,12.3,3.19,327,43.9,
H300×150,298,149,5.5,8,13,40.80,32.0,1.16,6320,442,12.4,3.29,424,59.3,
H300×150,300,150,6.5,9,13,46.78,36.7,1.16,7210,508,12.4,3.29,481,67.7,是
H300×150,304,151,7,11,13,54.41,42.7,1.18,8720,633,12.7,3.41,574,83.8,
H300×175,300,175,4.5,6,13,35.41,27.8,1.27,5720,537,12.7,3.89,382,61.3,是
H300×175,304,176.5,6,8,13,46.97,36.9,1.28,7670,734,12.8,3.95,505,83.2,
H300×175,308,177.5,7,10,13,57.11,44.8,1.29,9570,934,12.9,4.04,621,105,
H300×200,286,198,6,8,13,49.33,38.7,1.33,7360,1040,12.2,4.58,515,105,
H300×200,294,200,8,12,13,71.05,55.8,1.35,11100,1600,12.5,4.74,756,160,
H300×200,298,201,9,14,13,82.03,64.4,1.36,13100,1900,12.6,4.80,878,189,
H300×200,300,202,10,15,13,89.05,69.9,1.37,14200,2060,12.6,4.81,947,204,是
H300×250,298,249,8,14,13,92.77,72.8,1.55,15600,3600,13.0,6.23,1050,289,
H300×250,300,250,9,15,13,100.8,79.1,1.56,17000,3910,13.0,6.23,1130,313,是
H300×300,294,302,12,12,13,106.3,83.5,1.75,16600,5510,12.5,7.20,1130,365,
H300×300,300,300,10,15,13,118.5,93.0,1.76,20200,6750,13.1,7.55,1350,450,是
H300×300,300,305,15,15,13,133.5,105,1.77,21300,7100,12.6,7.29,1420,466,
H300×300,310,310,20,20,13,179.5,141,1.80,29600,9950,12.9,7.45,1910,642,
H300×300,320,304,14,25,13,191.3,150,1.81,35700,11700,13.7,7.83,2230,771,
H350×150,350,125,6,10,13,46.25,36.3,1.17,9410,327,14.3,2.66,537,52.3,是
H350×150,350,150,6,11,13,54.13,42.5,1.27,11600,620,14.7,3.38,664,82.7,是
H350×150,354,152,8,13,13,67.21,52.8,1.28,14200,763,14.5,3.37,804,100,
H350×175,340,173,4.5,6,13,36.97,29.0,1.34,7490,518,14.2,3.74,441,59.9,
H350×175,346,174,6,9,13,52.45,41.2,1.35,11000,791,14.5,3.88,638,91.0,
H350×175,350,175,7,11,13,62.91,49.4,1.36,13500,984,14.6,3.95,771,112,是
H350×200,350,201,9,11,13,75.19,59.0,1.46,15700,1490,14.5,4.45,899,148,是
H350×200,354,201,9,13,13,83.23,65.3,1.47,18200,1760,14.8,4.60,1030,175,
H350×250,340,250,9,14,13,99.53,78.1,1.64,21200,3650,14.6,6.05,1250,292,
H350×250,350,252,11,19,13,131.5,103,1.66,29400,5070,14.9,6.21,1680,403,是
H350×300,348,299,9,16.5,13,128.5,101,1.85,29800,7350,15.2,7.57,1710,492,
H350×300,350,300,10,17.5,13,138.0,108,1.86,32000,7880,15.2,7.56,1830,525,是
H350×300,360,303,13,22.5,13,178.8,140,1.88,42600,10400,15.4,7.64,2370,689,
H350×350,338,351,13,13,13,133.3,105,2.03,27700,9380,14.4,8.38,1640,534,
H350×350,344,348,10,16,13,144.0,113,2.04,32800,11200,15.1,8.83,1910,646,
H350×350,344,354,16,16,13,164.7,129,2.05,34900,11800,14.6,8.48,2030,669,
H350×350,350,350,12,19,13,171.9,135,2.05,39800,13600,15.2,8.88,2280,776,是
H350×350,350,357,19,19,13,196.4,154,2.07,42300,14400,14.7,8.57,2420,808,
H350×350,364,353,15,26,13,231.8,182,2.09,56700,19100,15.6,9.07,3110,1080,
H350×350,370,355,17,29,13,260.4,204,2.10,64600,21600,15.8,9.12,3490,1220,
H350×350,390,359,21,39,13,347.0,272,2.15,92300,30100,16.3,9.31,4730,1680,
H400×150,390,148,6,8,13,47.57,37.3,1.34,11700,434,15.7,3.01,602,58.6,
H400×150,400,150,8,13,13,70.37,55.2,1.36,18600,734,16.3,3.22,929,97.8,是
H400×200,390,198,6,8,13,55.57,43.6,1.54,14700,1040,16.2,4.31,752,105,
H400×200,396,199,7,11,13,71.41,56.1,1.55,19800,1450,16.6,4.50,999,145,
H400×200,400,200,8,13,13,83.37,65.4,1.56,23500,1740,16.8,4.56,1170,174,是
H400×200,406,202,10,16,13,103.5,81.2,1.58,29400,2200,16.9,4.61,1450,218,
H400×200,412,203,11,19,13,119.7,94.0,1.59,35100,2650,17.1,4.71,1700,262,
H400×250,402,251,10,14,13,109.1,85.6,1.77,31300,3690,16.9,5.82,1560,294,是
H400×250,410,252,11,18,13,133.3,105,1.78,40200,4810,17.4,6.00,1960,381,
H400×300,390,300,10,16,13,133.3,105,1.94,37900,7200,16.9,7.35,1940,480,
H400×300,400,302,12,21,13,171.3,134,1.96,50600,9650,17.2,7.51,2530,639,是
