型号,H,B,t1,t2,r,截面面积_cm2,理论重量_kg/m,外表面积_m2/m,Ix_cm4,Iy_cm4,ix_cm,iy_cm,Wx_cm3,Wy_cm3,基准规格△
HK100×100,106,103,7.1,8.8,6,24.71,19.4,0.600,476,161,4.39,2.55,89.8,31.2,
HK100×100,109,118,4,5.5,12,18.14,14.2,0.661,406,151,4.73,2.89,74.5,25.6,
HK125×50,120,64,4.4,6.3,7,13.21,10.4,0.475,318,27.7,4.90,1.45,53.0,8.65,
HK125×125,114,120,5,8,12,25.34,19.9,0.677,606,231,4.89,3.02,106,38.5,
HK125×125,120,120,6.5,11,12,34.01,26.7,0.686,864,318,5.04,3.06,144,52.9,
HK125×125,127,127,6.1,9.1,8,30.30,23.8,0.736,886,311,5.41,3.20,139,49.0,
HK125×125,131,128,6.9,10.9,8,35.99,28.3,0.746,1100,381,5.53,3.26,168,59.6,
HK150×75,140,73,4.7,6.9,7,16.43,12.9,0.551,541,44.9,5.74,1.65,77.3,12.3,
HK150×75,160,82,5,7.4,9,20.09,15.8,0.623,869,68.3,6.58,1.84,109,16.7,
HK150×75,180,91,5.3,8,9,23.95,18.8,0.698,1320,101,7.42,2.05,146,22.2,
HK150×100,148,100,4.3,4.9,6,16.05,12.6,0.677,611,81.8,6.17,2.26,82.5,16.4,
HK150×100,150,100,4.3,5.5,6,17.29,13.6,0.681,685,91.8,6.30,2.30,91.3,18.4,
HK150×100,153,102,5.8,7.1,6,22.84,17.9,0.692,915,126,6.33,2.35,120,24.7,
HK150×125,140,126,12.5,21,12,66.41,52.1,0.738,2020,703,5.51,3.25,288,112,
HK150×150,133,140,5.5,8.5,12,31.42,24.7,0.794,1030,389,5.73,3.52,155,55.6,
HK150×150,140,140,7,12,12,42.96,33.7,0.805,1510,550,5.93,3.58,216,78.5,
HK150×150,152,152,5.8,6.6,6,28.42,22.3,0.890,1200,387,6.51,3.69,159,50.9,
HK150×150,152,160,6,9,15,38.77,30.4,0.906,1670,616,6.57,3.98,220,76.9,
HK150×150,157,153,6.6,9.3,6,37.90,29.8,0.903,1710,556,6.73,3.83,218,72.6,
HK150×150,160,102,6.6,10.3,6,30.52,24.0,0.705,1340,183,6.63,2.45,168,35.8,
HK150×150,160,146,13,22,12,80.56,63.2,0.857,3290,1140,6.39,3.77,411,157,
HK150×150,160,160,8,13,15,54.25,42.6,0.918,2490,889,6.78,4.05,311,111,
HK150×150,162,154,8.1,11.6,6,47.28,37.1,0.914,2220,707,6.85,3.87,274,91.8,
HK150×150,170,157,11,15.5,8,64.51,50.6,0.932,3190,1000,7.03,3.94,375,128,
HK175×175,171,180,6,9.5,15,45.25,35.5,1.02,2510,925,7.45,4.52,294,103,
HK175×175,180,166,14,23,15,97.05,76.2,0.970,5100,1760,7.25,4.26,566,212,
HK175×175,180,180,8.5,14,15,65.25,51.2,1.04,3830,1360,7.66,4.57,426,151,
HK200×100,200,100,4.3,5.2,8,19.10,15.0,0.778,1280,86.9,8.18,2.13,128,17.4,
HK200×100,200,100,5.6,8.5,12,28.48,22.4,0.768,1940,142,8.26,2.24,194,28.5,
HK200×100,203,102,5.8,6.5,8,24.83,19.5,0.789,1660,115,8.18,2.16,164,22.6,
HK200×100,206,102,6.2,8,8,28.65,22.5,0.794,2000,142,8.36,2.23,194,27.8,
HK200×100,220,110,5.9,9.2,12,33.37,26.2,0.848,2770,205,9.11,2.48,252,37.3,
HK200×125,203.2,133.2,5.7,7.8,7.6,31.97,25.1,0.915,2340,308,8.56,3.10,230,46.2,
HK200×125,207,133,5.8,8.4,8,33.92,26.6,0.921,2580,330,8.73,3.12,250,49.6,
HK200×125,210,134,6.4,10.2,8,40.02,31.4,0.929,3140,410,8.86,3.20,299,61.1,
HK200×150,201,166,6.2,10.2,10,45.92,36.0,1.04,3460,778,8.68,4.12,344,93.8,
HK200×150,206,166,7.2,11.8,10,53.17,41.7,1.04,4130,901,8.81,4.12,401,108,
HK200×200,190,200,6.5,10,18,53.83,42.3,1.14,3690,1340,8.28,4.98,389,134,
HK200×200,200,186,14.5,24,15,113.3,88.9,1.09,7480,2580,8.13,4.77,748,277,
HK200×200,200,200,9,15,18,78.08,61.3,1.15,5700,2000,8.54,5.07,570,200,
