型号,h,B,t1,t2,r,截面面积_cm2,理论重量_kg/m,外表面积_m2/m,Ix_cm4,Iy_cm4,ix_cm,iy_cm,Wx_cm3,Wy_cm3,重心Cx_cm,对应H型钢系列,基准规格△
T50×50,50,50,5,7,8,5.920,4.65,0.193,11.8,7.39,1.41,1.11,3.18,2.95,1.28,H100×50,
T50×100,50,100,6,8,8,10.79,8.47,0.293,16.1,66.8,1.22,2.48,4.02,13.4,1.00,H100×100,
T62.5×60,62.5,60,6,8,8,8.340,6.55,0.238,27.5,14.6,1.81,1.32,5.96,4.85,1.64,H125×60,
T62.5×125,62.5,125,6.5,9,8,15.00,11.8,0.368,35.0,147,1.52,3.12,6.91,23.5,1.19,H125×125,
T75×75,75,75,5,7,8,8.920,7.00,0.293,42.6,24.7,2.18,1.66,7.46,6.59,1.79,H150×75,
T75×100,74,100,6,9,8,13.17,10.3,0.341,51.7,75.2,1.98,2.38,8.84,15.0,1.56,H150×100,
T75×150,75,150,7,10,8,19.82,15.6,0.443,66.4,282,1.82,3.76,10.8,37.5,1.37,H150×150,
T87.5×90,85.5,89,4,6,8,8.790,6.90,0.342,53.7,35.3,2.47,2.00,8.02,7.94,1.86,H175×90,
T87.5×90,87.5,90,5,8,8,11.44,8.98,0.348,70.6,48.7,2.48,2.06,10.4,10.8,1.93,,
T87.5×175,87.5,175,7.5,11,13,25.71,20.2,0.514,115,492,2.11,4.37,15.9,56.2,1.55,H175×175,
T100×100,99,99,4.5,7,8,11.34,8.90,0.389,93.5,56.7,2.87,2.23,12.1,11.5,2.17,H200×200,
T100×100,100,100,5.5,8,8,13.33,10.5,0.393,114,66.9,2.92,2.23,14.8,13.4,2.31,,
T100×150,97,150,6,9,8,19.05,15.0,0.487,124,253,2.55,3.64,15.8,33.8,1.80,H200×150,
T100×200,100,200,8,12,13,31.76,24.9,0.589,184,801,2.40,5.02,22.3,80.1,1.73,H200×200,
T100×200,100,204,12,12,13,35.76,28.1,0.597,256,851,2.67,4.87,32.4,83.4,2.09,,
T125×125,124,124,5,8,8,15.99,12.6,0.489,207,127,3.59,2.82,21.3,20.5,2.66,H250×125,
T125×125,125,125,6,9,8,18.48,14.5,0.493,248,147,3.66,2.81,25.6,23.5,2.81,,
T125×175,122,175,7,11,13,27.74,21.8,0.583,288,492,3.22,4.21,29.1,56.2,2.28,H250×175,
T125×250,125,250,9,14,13,45.71,35.9,0.739,412,1820,3.00,6.31,39.5,146,2.08,H250×250,
T125×250,125,255,14,14,13,51.96,40.8,0.749,589,1940,3.36,6.10,59.4,152,2.58,,
T150×150,149,149,5.5,8,13,20.40,16.0,0.585,393,221,4.39,3.29,33.8,29.7,3.26,H300×150,
T150×150,150,150,6.5,9,13,23.39,18.4,0.589,464,254,4.45,3.29,40.0,33.8,3.41,,
T150×200,147,200,8,12,13,35.52,27.9,0.683,571,801,4.00,4.74,48.2,80.1,2.85,H300×200,
T150×200,149,201,9,14,13,41.01,32.2,0.689,661,949,4.01,4.80,55.2,94.4,2.92,,
T150×300,147,302,12,12,13,53.16,41.7,0.887,857,2760,4.01,7.20,72.3,183,2.85,H300×300,
T150×300,150,300,10,15,13,59.22,46.5,0.889,798,3380,3.67,7.55,63.7,225,2.47,,
T150×300,150,305,15,15,13,66.72,52.4,0.899,1110,3550,4.07,7.29,92.5,233,3.04,,
T175×175,173,174,6,9,13,26.22,20.6,0.683,679,396,5.08,3.88,50.0,45.5,3.72,H350×175,
T175×175,175,175,7,11,13,31.45,24.7,0.689,814,492,5.08,3.95,59.3,56.2,3.76,,
T175×250,170,250,9,14,13,49.76,39.1,0.829,1020,1820,4.51,6.05,73.2,146,3.11,H350×250,
T175×350,172,348,10,16,13,72.00,56.5,1.03,1230,5620,4.13,8.83,84.7,323,2.67,H350×350,
T175×350,175,350,12,19,13,85.94,67.5,1.04,1520,6790,4.20,8.88,104,388,2.87,,
T200×200,198,199,7,11,13,35.70,28.0,0.783,1190,723,5.77,4.50,76.4,72.7,4.20,H400×200,
T200×200,200,200,8,13,13,41.68,32.7,0.789,1390,868,5.78,4.56,88.6,86.8,4.26,,
T200×300,195,300,10,16,13,66.62,52.3,0.979,1730,3600,5.09,7.35,108,240,3.43,H400×300,
T200×400,194,402,15,15,22,89.22,70.0,1.17,2480,8130,5.27,9.54,158,404,3.70,H400×400,
T200×400,197,398,11,18,22,93.40,73.3,1.17,2050,9460,4.67,10.1,123,475,3.01,,
T200×400,200,400,13,21,22,109.3,85.8,1.18,2480,11200,4.75,10.1,147,560,3.21,,
T200×400,200,408,21,21,22,125.3,98.4,1.20,3650,11900,5.39,9.74,229,584,4.07,,
T200×400,207,405,18,28,22,147.7,116,1.21,3620,15500,4.95,10.2,213,766,3.68,,
T200×400,214,407,20,35,22,180.3,142,1.22,4380,19700,4.92,10.4,250,967,3.90,,
T225×150,223,150,7,12,13,33.49,26.3,0.735,1570,338,6.84,3.17,93.7,45.1,5.54,H450×150,
T225×150,225,151,8,14,13,38.74,30.4,0.741,1830,403,6.87,3.22,108,53.4,5.62,,
T225×200,223,199,8,12,13,41.48,32.6,0.833,1870,789,6.71,4.36,109,79.3,5.15,H450×200,
T225×200,225,200,9,14,13,47.71,37.5,0.839,2150,935,6.71,4.42,124,93.5,5.19,,
T225×300,220,300,11,18,13,76.94,60.4,1.03,2680,4050,5.89,7.25,150,270,4.09,H450×300,
T237.5×150,235,150,7,13,13,35.76,28.1,0.759,1850,367,7.18,3.20,104,48.9,7.50,H475×150,
T237.5×150,237.5,151.5,8.5,15.5,13,43.07,33.8,0.767,2270,451,7.25,3.23,128,59.5,7.57,,
T237.5×150,241,153.5,10.5,19,13,53.20,41.8,0.778,2860,575,7.33,3.28,160,75.0,7.67,,
T250×150,246,150,7,12,13,35.10,27.6,0.781,2060,339,7.66,3.10,113,45.1,6.36,H500×150,
T250×150,250,152,9,16,13,46.10,36.2,0.793,2750,470,7.71,3.19,149,61.9,6.53,,
T250×150,252,153,10,18,13,51.66,40.6,0.799,3100,540,7.74,3.23,167,70.5,6.62,,
T250×200,248,199,9,14,13,49.64,39.0,0.883,2820,921,7.54,4.30,150,92.6,5.97,H500×200,
