型号,B_mm,b_mm,d_mm,r_mm,截面面积_cm2,理论重量_kg/m,外表面积_m2/m,Ix_cm4,Ix1_cm4,Iy_cm4,Iy1_cm4,Iu_cm4,ix_cm,iy_cm,iu_cm,Wx_cm3,Wy_cm3,Wu_cm3,tanA,X0_cm,Y0_cm
L25x16x3,25,16,3,3.5,1.162,0.91,0.080,0.70,1.56,0.22,0.43,0.14,0.78,0.44,0.34,0.43,0.19,0.16,0.392,0.42,0.86
L25x16x4,25,16,4,3.5,1.499,1.18,0.079,0.88,2.09,0.27,0.59,0.17,0.77,0.43,0.34,0.55,0.24,0.20,0.381,0.46,0.90
L32x20x3,32,20,3,3.5,1.492,1.17,0.102,1.53,3.27,0.46,0.82,0.28,1.01,0.55,0.43,0.72,0.30,0.25,0.382,0.49,1.08
L32x20x4,32,20,4,3.5,1.939,1.52,0.101,1.93,4.37,0.57,1.12,0.35,1.00,0.54,0.42,0.93,0.39,0.32,0.374,0.53,1.12
L40x25x3,40,25,3,4,1.890,1.48,0.127,3.08,5.39,0.93,1.59,0.56,1.28,0.70,0.54,1.15,0.49,0.40,0.385,0.59,1.32
L40x25x4,40,25,4,4,2.467,1.94,0.127,3.93,8.53,1.18,2.14,0.71,1.36,0.69,0.54,1.49,0.63,0.52,0.381,0.63,1.37
L45x28x3,45,28,3,5,2.149,1.69,0.143,4.45,9.10,1.34,2.23,0.80,1.44,0.79,0.61,1.47,0.62,0.51,0.383,0.64,1.47
L45x28x4,45,28,4,5,2.806,2.20,0.143,5.69,12.1,1.70,3.00,1.02,1.42,0.78,0.60,1.91,0.80,0.66,0.380,0.68,1.51
L50x32x3,50,32,3,5.5,2.431,1.91,0.161,6.24,12.5,2.02,3.31,1.20,1.60,0.91,0.70,1.84,0.82,0.68,0.404,0.73,1.60
L50x32x4,50,32,4,5.5,3.177,2.49,0.160,8.02,16.7,2.58,4.45,1.53,1.59,0.90,0.69,2.39,1.06,0.87,0.402,0.77,1.65
L56x36x3,56,36,3,6,2.743,2.15,0.181,8.88,17.5,2.92,4.7,1.73,1.80,1.03,0.79,2.32,1.05,0.87,0.408,0.80,1.78
L56x36x4,56,36,4,6,3.590,2.82,0.180,11.5,23.4,3.76,6.33,2.23,1.79,1.02,0.79,3.03,1.37,1.13,0.408,0.85,1.82
L56x36x5,56,36,5,6,4.415,3.47,0.180,13.9,29.3,4.49,7.94,2.67,1.77,1.01,0.78,3.71,1.65,1.36,0.404,0.88,1.87
L63x40x4,63,40,4,7,4.058,3.19,0.202,16.5,33.3,5.23,8.63,3.12,2.02,1.14,0.88,3.87,1.70,1.40,0.398,0.92,2.04
L63x40x5,63,40,5,7,4.993,3.92,0.202,20.0,41.6,6.31,10.9,3.76,2.00,1.12,0.87,4.74,2.07,1.71,0.396,0.95,2.08
L63x40x6,63,40,6,7,5.908,4.64,0.201,23.4,50.0,7.29,13.1,4.34,1.96,1.11,0.86,5.59,2.43,1.99,0.393,0.99,2.12
L63x40x7,63,40,7,7,6.802,5.34,0.201,26.5,58.1,8.24,15.5,4.97,1.98,1.10,0.86,6.40,2.78,2.29,0.389,1.03,2.15
L70x45x4,70,45,4,7.5,4.553,3.57,0.226,23.2,45.9,7.55,12.3,4.40,2.26,1.29,0.98,4.86,2.17,1.77,0.410,1.02,2.24
L70x45x5,70,45,5,7.5,5.609,4.40,0.225,28.0,57.1,9.13,15.4,5.40,2.23,1.28,0.98,5.92,2.65,2.19,0.407,1.06,2.28
L70x45x6,70,45,6,7.5,6.644,5.22,0.225,32.5,68.4,10.6,18.6,6.35,2.21,1.26,0.98,6.95,3.12,2.59,0.404,1.09,2.32
L75x50x5,75,50,5,8,6.126,4.81,0.245,34.9,70.0,12.6,21.0,7.41,2.39,1.44,1.10,6.83,3.3,2.74,0.435,1.17,2.40
L75x50x6,75,50,6,8,7.260,5.70,0.245,41.1,84.3,14.7,25.4,8.54,2.38,1.42,1.08,8.12,3.88,3.19,0.435,1.21,2.44
L75x50x8,75,50,8,8,9.467,7.43,0.244,52.4,113,18.5,34.2,10.9,2.35,1.40,1.07,10.5,4.99,4.10,0.429,1.29,2.52
L75x50x10,75,50,10,8,11.59,9.10,0.244,62.7,141,22.0,43.4,13.1,2.33,1.38,1.06,12.8,6.04,4.99,0.423,1.36,2.60
L80x50x5,80,50,5,8,6.376,5.00,0.255,42.0,85.2,12.8,21.1,7.66,2.56,1.42,1.10,7.78,3.32,2.74,0.388,1.14,2.60
L80x50x6,80,50,6,8,7.560,5.93,0.255,49.5,103,15.0,25.4,8.85,2.56,1.41,1.08,9.25,3.91,3.20,0.387,1.18,2.65
L80x50x7,80,50,7,8,8.724,6.85,0.255,56.2,119,17.0,29.8,10.2,2.54,1.39,1.08,10.6,4.48,3.70,0.384,1.21,2.69
L80x50x8,80,50,8,8,9.867,7.75,0.254,62.8,136,18.9,34.3,11.4,2.52,1.38,1.07,11.9,5.03,4.16,0.381,1.25,2.73
L90x56x5,90,56,5,9,7.212,5.66,0.287,60.5,121,18.3,29.5,11.0,2.90,1.59,1.23,9.92,4.21,3.49,0.385,1.25,2.91
L90x56x6,90,56,6,9,8.557,6.72,0.286,71.0,146,21.4,35.6,12.9,2.88,1.58,1.23,11.7,4.96,4.13,0.384,1.29,2.95
L90x56x7,90,56,7,9,9.881,7.76,0.286,81.0,170,24.4,41.7,14.7,2.86,1.57,1.22,13.5,5.70,4.72,0.382,1.33,3.00
L90x56x8,90,56,8,9,11.18,8.78,0.286,91.0,194,27.2,47.9,16.3,2.85,1.56,1.21,15.3,6.41,5.29,0.380,1.36,3.04
L100x63x6,100,63,6,10,9.618,7.55,0.320,99.1,200,30.9,50.5,18.4,3.21,1.79,1.38,14.6,6.35,5.25,0.394,1.43,3.24
L100x63x7,100,63,7,10,11.11,8.72,0.320,113,233,35.3,59.1,21.0,3.20,1.78,1.38,16.9,7.29,6.02,0.394,1.47,3.28
L100x63x8,100,63,8,10,12.58,9.88,0.319,127,266,39.4,67.9,23.5,3.18,1.77,1.37,19.1,8.21,6.78,0.391,1.50,3.32
L100x63x10,100,63,10,10,15.47,12.1,0.319,154,333,47.1,85.7,28.3,3.15,1.74,1.35,23.3,9.98,8.24,0.387,1.58,3.40
L100x80x6,100,80,6,10,10.64,8.35,0.354,107,200,61.2,103,31.7,3.17,2.40,1.72,15.2,10.2,8.37,0.627,1.97,2.95
L100x80x7,100,80,7,10,12.30,9.66,0.354,123,233,70.1,120,36.2,3.16,2.39,1.72,17.5,11.7,9.60,0.626,2.01,3.00
L100x80x8,100,80,8,10,13.94,10.9,0.353,138,267,78.6,137,40.6,3.14,2.37,1.71,19.8,13.2,10.8,0.625,2.05,3.04
L100x80x10,100,80,10,10,17.17,13.5,0.353,167,334,94.7,172,49.1,3.12,2.35,1.69,24.2,16.1,13.1,0.622,2.13,3.12
L110x70x6,110,70,6,10,10.64,8.35,0.354,133,266,42.9,69.1,25.4,3.54,2.01,1.54,17.9,7.90,6.53,0.403,1.57,3.53
L110x70x7,110,70,7,10,12.30,9.66,0.354,153,310,49.0,80.8,29.0,3.53,2.00,1.53,20.6,9.09,7.50,0.402,1.61,3.57
L110x70x8,110,70,8,10,13.94,10.9,0.353,172,354,54.9,92.7,32.5,3.51,1.98,1.53,23.3,10.3,8.45,0.401,1.65,3.62
L110x70x10,110,70,10,10,17.17,13.5,0.353,208,443,65.9,117,39.2,3.48,1.96,1.51,28.5,12.5,10.3,0.397,1.72,3.70
L125x80x7,125,80,7,11,14.10,11.1,0.403,228,455,74.4,120,43.8,4.02,2.30,1.76,26.9,12.0,9.92,0.408,1.80,4.01
L125x80x8,125,80,8,11,15.99,12.6,0.403,257,520,83.5,138,49.2,4.01,2.28,1.75,30.4,13.6,11.2,0.407,1.84,4.06
L125x80x10,125,80,10,11,19.71,15.5,0.402,312,650,101,173,59.5,3.98,2.26,1.74,37.3,16.6,13.6,0.404,1.92,4.14
L125x80x12,125,80,12,11,23.35,18.3,0.402,364,780,117,210,69.4,3.95,2.24,1.72,44.0,19.4,16.0,0.400,2.00,4.22
L140x90x8,140,90,8,12,18.04,14.2,0.453,366,731,121,196,70.8,4.50,2.59,1.98,38.5,17.3,14.3,0.411,2.04,4.50
L140x90x10,140,90,10,12,22.26,17.5,0.452,446,913,140,246,85.8,4.47,2.56,1.96,47.3,21.2,17.5,0.409,2.12,4.58
L140x90x12,140,90,12,12,26.40,20.7,0.451,522,100,170,297,100,4.44,2.54,1.95,55.9,25.0,20.5,0.406,2.19,4.66
L140x90x14,140,90,14,12,30.46,23.9,0.451,594,280,192,349,114,4.42,2.51,1.94,64.2,28.5,23.5,0.403,2.27,4.74
L150x90x8,150,90,8,12,18.84,14.8,0.473,442,898,123,196,74.1,4.84,2.55,1.98,43.9,17.5,14.5,0.364,1.97,4.92
L150x90x10,150,90,10,12,23.26,18.3,0.472,539,120,149,246,89.9,4.81,2.53,1.97,54.0,21.4,17.7,0.362,2.05,5.01
L150x90x12,150,90,12,12,27.60,21.7,0.471,632,350,173,297,105,4.79,2.50,1.95,63.8,25.1,20.8,0.359,2.12,5.09
L150x90x14,150,90,14,12,31.86,25.0,0.471,721,570,196,350,120,4.76,2.48,1.94,73.3,28.8,23.8,0.356,2.20,5.17
L150x90x15,150,90,15,12,33.95,26.7,0.471,764,1680,207,376,127,4.74,2.47,1.93,78.0,30.5,25.3,0.354,2.24,5.21
L150x90x16,150,90,16,12,36.03,28.3,0.470,806,800,217,403,134,4.73,2.45,1.93,82.6,32.3,26.8,0.352,2.27,5.25
L160x100x10,160,100,10,13,25.32,19.9,0.512,669,1360,205,337,122,5.14,2.85,2.19,62.1,26.6,21.9,0.390,2.28,5.24
L160x100x12,160,100,12,13,30.05,23.6,0.511,785,1640,239,406,142,5.11,2.82,2.17,73.5,31.3,25.8,0.388,2.36,5.32
L160x100x14,160,100,14,13,34.71,27.2,0.510,896,1910,271,476,162,5.08,2.80,2.16,84.6,35.8,29.6,0.385,2.43,5.40
L160x100x16,160,100,16,13,39.28,30.8,0.510,000,180,302,548,183,5.05,2.77,2.16,95.3,40.2,33.4,0.382,2.51,5.48
L180x110x10,180,110,10,14,28.37,22.3,0.571,956,19940,278,447,167,5.80,3.13,2.42,79.0,32.5,26.9,0.376,2.44,5.89
L180x110x12,180,110,12,14,33.71,26.5,0.571,120,330,325,539,195,5.78,3.10,2.40,93.5,38.3,31.7,0.374,2.52,5.98
L180x110x14,180,110,14,14,38.97,30.6,0.570,290,720,370,632,222,5.75,3.08,2.39,108,44.0,36.3,0.372,2.59,6.06
L180x110x16,180,110,16,14,44.14,34.6,0.569,440,110,412,726,249,5.72,3.06,2.38,122,49.4,40.9,0.369,2.67,6.14
L200x125x12,200,125,12,14,37.91,29.8,0.641,1570,190,483,788,286,6.44,3.57,2.74,117,50.0,41.2,0.392,2.83,6.54
L200x125x14,200,125,14,14,43.87,34.4,0.640,18800,730,551,922,327,6.41,3.54,2.73,135,57.4,47.3,0.390,2.91,6.62
L200x125x16,200,125,16,14,49.74,39.0,0.639,020,260,615,060,366,6.38,3.52,2.71,152,64.9,53.3,0.388,2.99,6.70
L200x125x18,200,125,18,14,55.53,43.6,0.639,240,4790,677,200,405,6.35,3.49,2.70,169,71.7,59.2,0.385,3.06,6.78
