型号,h_mm,b_mm,d_mm,t_mm,r_mm,r1_mm,截面面积_cm2,理论重量_kg/m,外表面积_m2/m,Ix_cm4,Iy_cm4,Iy1_cm4,ix_cm,iy_cm,Wx_cm3,Wy_cm3,Z0_cm
5,50,37,4.5,7.0,7.0,3.5,6.925,5.44,0.226,26.0,8.30,20.9,1.94,1.10,10.4,3.55,1.35
6.3,63,40,4.8,7.5,7.5,3.8,8.446,6.63,0.262,50.8,11.9,28.4,2.45,1.19,16.1,4.50,1.36
6.5,65,40,4.3,7.5,7.5,3.8,8.292,6.51,0.267,55.2,12.0,28.3,2.54,1.19,17.0,4.59,1.38
8,80,43,5.0,8.0,8.0,4.0,10.24,8.04,0.307,101,16.6,37.4,3.15,1.27,25.3,5.79,1.43
10,100,48,5.3,8.5,8.5,4.2,12.74,10.0,0.365,198,25.6,54.9,3.95,1.41,39.7,7.80,1.52
12,120,53,5.5,9.0,9.0,4.5,15.36,12.1,0.423,346,37.4,77.7,4.75,1.56,57.7,10.2,1.62
12.6,126,53,5.5,9.0,9.0,4.5,15.69,12.3,0.435,391,38.0,77.1,4.95,1.57,62.1,10.2,1.59
14a,140,58,6.0,9.5,9.5,4.8,18.51,14.5,0.480,564,53.2,107,5.52,1.70,80.5,13.0,1.71
14b,140,60,8.0,9.5,9.5,4.8,21.31,16.7,0.484,609,61.1,121,5.35,1.69,87.1,14.1,1.67
16a,160,63,6.5,10.0,10.0,5.0,21.95,17.2,0.538,866,73.3,144,6.28,1.83,108,16.3,1.80
16b,160,65,8.5,10.0,10.0,5.0,25.15,19.8,0.542,935,83.4,161,6.10,1.82,117,17.6,1.75
18a,180,68,7.0,10.5,10.5,5.2,25.69,20.2,0.596,1270,98.6,190,7.04,1.96,141,20.0,1.88
18b,180,70,9.0,10.5,10.5,5.2,29.29,23.0,0.600,1370,111,210,6.84,1.95,152,21.5,1.84
20a,200,73,7.0,11.0,11.0,5.5,28.83,22.6,0.654,1780,128,244,7.86,2.11,178,24.2,2.01
20b,200,75,9.0,11.0,11.0,5.5,32.83,25.8,0.658,1910,144,268,7.64,2.09,191,25.9,1.95
22a,220,77,7.0,11.5,11.5,5.8,31.83,25.0,0.709,2390,158,298,8.67,2.23,218,28.2,2.10
22b,220,79,9.0,11.5,11.5,5.8,36.23,28.5,0.713,2570,176,326,8.42,2.21,234,30.1,2.03
24a,240,78,7.0,12.0,12.0,6.0,34.21,26.9,0.752,3050,174,325,9.45,2.25,254,30.5,2.10
24b,240,80,9.0,12.0,12.0,6.0,39.01,30.6,0.756,3280,194,355,9.17,2.23,274,32.5,2.03
24c,240,82,11.0,12.0,12.0,6.0,43.81,34.4,0.760,3510,213,388,8.96,2.21,293,34.4,2.00
25a,250,78,7.0,12.0,12.0,6.0,34.91,27.4,0.722,3370,176,322,9.82,2.24,270,30.6,2.07
25b,250,80,9.0,12.0,12.0,6.0,39.91,31.3,0.776,3530,196,353,9.41,2.22,282,32.7,1.98
25c,250,82,11.0,12.0,12.0,6.0,44.91,35.3,0.780,3690,218,384,9.07,2.21,295,35.9,1.92
27a,270,82,7.5,12.5,12.5,6.2,39.27,30.8,0.826,4360,216,393,10.5,2.34,323,35.5,2.13
27b,270,84,9.5,12.5,12.5,6.2,44.67,35.1,0.830,4690,239,428,10.3,2.31,347,37.7,2.06
27c,270,86,11.5,12.5,12.5,6.2,50.07,39.3,0.834,5020,261,467,10.1,2.28,372,39.8,2.03
28a,280,82,7.5,12.5,12.5,6.2,40.02,31.4,0.846,4760,218,388,10.9,2.33,340,35.7,2.10
28b,280,84,9.5,12.5,12.5,6.2,45.62,35.8,0.850,5130,242,428,10.6,2.30,366,37.9,2.02
28c,280,86,11.5,12.5,12.5,6.2,51.22,40.2,0.854,5500,268,463,10.4,2.29,393,40.3,1.95
30a,300,85,7.5,13.5,13.5,6.8,43.89,34.5,0.897,6050,260,467,11.7,2.43,403,41.1,2.17
30b,300,87,9.5,13.5,13.5,6.8,49.89,39.2,0.901,6500,289,515,11.4,2.41,433,44.0,2.13
30c,300,89,11.5,13.5,13.5,6.8,55.89,43.9,0.905,6950,316,560,11.2,2.38,463,46.4,2.09
32a,320,88,8.0,14.0,14.0,7.0,48.50,38.1,0.947,7600,305,552,12.5,2.50,475,46.5,2.24
32b,320,90,10.0,14.0,14.0,7.0,54.90,43.1,0.951,8140,336,593,12.2,2.47,509,49.2,2.16
32c,320,92,12.0,14.0,14.0,7.0,61.30,48.1,0.955,8690,374,643,11.9,2.47,543,52.6,2.09
36a,360,96,9.0,16.0,16.0,8.0,60.89,47.8,1.053,11900,455,818,14.0,2.73,660,63.5,2.44
36b,360,98,11.0,16.0,16.0,8.0,68.09,53.5,1.057,12700,497,880,13.6,2.70,703,66.9,2.37
36c,360,100,13.0,16.0,16.0,8.0,75.29,59.1,1.061,13400,536,948,13.4,2.67,746,70.0,2.34
40a,400,100,10.5,18.0,18.0,9.0,75.04,58.9,1.144,17600,592,1070,15.3,2.81,879,78.8,2.49
40b,400,102,12.5,18.0,18.0,9.0,83.04,65.2,1.148,18600,640,1140,15.0,2.78,932,82.5,2.44
40c,400,104,14.5,18.0,18.0,9.0,91.04,71.5,1.152,19700,688,1220,14.7,2.75,986,86.2,2.42
