型号,b_mm,d_mm,r_mm,截面面积_cm2,理论重量_kg/m,外表面积_m2/m,Ix_cm4,Ix1_cm4,Ix0_cm4,Iy0_cm4,ix_cm,ix0_cm,iy0_cm,Wx_cm3,Wx0_cm3,Wy0_cm3,Z0_cm
L20x3,20,3,3.5,1.132,0.89,0.078,0.40,0.81,0.63,0.17,0.59,0.75,0.39,0.29,0.45,0.20,0.60
L20x4,20,4,3.5,1.459,1.15,0.077,0.50,1.09,0.78,0.22,0.58,0.73,0.38,0.36,0.55,0.24,0.64
L25x3,25,3,3.5,1.432,1.12,0.098,0.82,1.57,1.29,0.34,0.76,0.95,0.49,0.46,0.73,0.33,0.73
L25x4,25,4,3.5,1.859,1.46,0.097,1.03,2.11,1.62,0.43,0.74,0.93,0.48,0.59,0.92,0.40,0.76
L30x3,30,3,4.5,1.749,1.37,0.117,1.46,2.71,2.31,0.61,0.91,1.15,0.59,0.68,1.09,0.51,0.85
L30x4,30,4,4.5,2.276,1.79,0.117,1.84,3.63,2.92,0.77,0.90,1.13,0.58,0.87,1.37,0.62,0.89
L36x3,36,3,4.5,2.109,1.66,0.141,2.58,4.68,4.09,1.07,1.11,1.39,0.71,0.99,1.61,0.76,1.00
L36x4,36,4,4.5,2.756,2.16,0.141,3.29,6.25,5.22,1.37,1.09,1.38,0.70,1.28,2.05,0.93,1.04
L36x5,36,5,4.5,3.382,2.65,0.141,3.95,7.84,6.24,1.65,1.08,1.36,0.7,1.56,2.45,1.00,1.07
L40x3,40,3,5,2.359,1.85,0.157,3.59,6.41,5.69,1.49,1.23,1.55,0.79,1.23,2.01,0.96,1.09
L40x4,40,4,5,3.086,2.42,0.157,4.60,8.56,7.29,1.91,1.22,1.54,0.79,1.60,2.58,1.19,1.13
L40x5,40,5,5,3.792,2.98,0.156,5.53,10.7,8.76,2.30,1.21,1.52,0.78,1.96,3.10,1.39,1.17
L45x3,45,3,5,2.659,2.09,0.177,5.17,9.12,8.20,2.14,1.40,1.76,0.89,1.58,2.58,1.24,1.22
L45x4,45,4,5,3.486,2.74,0.177,6.65,12.2,10.6,2.75,1.38,1.74,0.89,2.05,3.32,1.54,1.26
